cgpa,dsa_score,aptitude_score,communication_score,mock_interview_avg_score,placed
8.0,86.0,61.9,55.9,44.5,1
7.36,78.9,68.3,66.4,59.4,1
8.15,65.9,60.5,70.9,60.3,0
9.02,55.3,66.3,93.9,68.5,1
7.27,75.5,47.3,80.6,35.4,0
7.27,70.9,72.6,61.6,70.7,0
9.08,78.4,70.0,79.9,11.3,1
8.27,74.5,60.2,59.5,48.7,1
7.03,80.7,77.9,85.8,51.2,1
8.04,57.0,81.3,70.3,71.4,1
7.04,84.8,50.7,74.1,60.4,1
7.03,68.0,60.8,88.3,34.7,0
7.74,96.1,60.8,62.1,42.3,1
5.59,54.7,58.7,61.0,63.6,0
5.78,91.0,80.0,69.2,58.6,1
6.94,68.0,67.7,85.4,49.6,0
6.49,55.2,66.8,59.8,51.3,0
7.81,57.7,46.0,46.7,72.5,1
6.59,60.2,77.6,70.5,50.7,0
6.09,71.4,55.1,80.5,58.4,1
8.97,72.8,70.7,87.0,99.1,1
7.27,56.4,73.3,70.4,34.4,0
7.57,64.6,86.3,70.9,26.7,0
6.08,97.1,54.3,86.5,74.1,1
6.96,90.9,33.8,56.3,47.8,1
7.61,71.5,72.2,71.1,54.3,0
6.35,65.6,91.6,76.9,45.9,0
7.88,66.8,84.9,79.5,55.3,1
6.9,74.2,72.5,69.9,88.8,1
7.21,49.7,64.1,75.3,74.4,0
6.9,61.1,79.7,50.1,75.5,0
9.35,40.0,58.3,68.4,34.5,0
7.49,71.0,75.7,79.5,39.3,1
6.44,74.7,76.1,65.2,8.9,0
8.32,57.8,82.7,75.6,45.4,1
6.28,88.6,100.0,79.5,77.2,1
7.71,46.6,74.7,71.6,69.3,1
5.54,43.0,63.9,76.7,56.0,0
6.17,68.4,69.7,65.4,59.6,1
7.7,80.7,48.8,72.9,47.6,1
8.24,90.3,61.7,81.1,63.7,1
7.67,58.1,65.1,76.6,73.8,0
7.38,81.2,63.7,69.1,30.9,0
7.2,64.4,71.8,77.2,65.4,0
6.02,62.4,60.1,82.1,76.8,1
6.78,78.3,83.5,54.5,52.5,1
7.04,74.8,70.0,86.6,72.6,0
8.56,41.4,69.9,71.6,100.0,1
7.84,87.1,66.1,79.3,58.1,1
5.74,85.7,71.9,87.0,67.1,1
7.82,55.6,79.9,61.3,46.7,0
7.11,70.9,59.6,67.9,63.3,1
6.82,72.4,62.1,72.1,68.3,1
8.11,68.9,66.4,67.2,63.5,1
8.53,56.7,53.8,92.3,41.6,0
8.43,54.9,60.2,66.4,63.7,0
6.66,64.6,64.3,69.4,86.3,1
7.19,82.6,80.5,77.0,68.1,1
7.83,73.2,73.2,63.0,77.3,1
8.48,59.4,72.3,71.0,55.7,0
7.02,76.6,80.2,78.2,73.5,1
7.31,22.3,68.4,71.7,65.0,0
6.39,82.2,74.7,74.1,42.9,1
6.3,38.9,68.8,69.7,65.7,0
8.31,59.6,73.2,59.9,42.1,0
8.86,48.2,63.0,78.2,48.6,0
7.43,45.6,40.7,92.5,63.4,0
8.5,82.4,68.4,75.2,65.4,1
7.86,58.0,87.1,77.3,38.6,0
6.85,70.2,81.1,81.9,79.0,1
7.86,64.3,81.6,62.3,70.3,0
9.04,72.2,84.8,92.0,47.3,1
7.46,66.2,71.1,77.0,32.3,0
9.06,45.8,72.4,91.3,57.4,0
4.88,79.9,62.6,67.7,52.0,1
8.32,57.6,66.2,93.2,62.0,1
7.59,41.7,77.4,82.8,53.5,0
7.2,58.6,84.4,80.5,23.9,0
7.59,87.5,68.3,77.3,53.0,1
5.51,77.8,64.6,72.5,54.5,1
7.28,59.8,70.0,87.0,71.4,0
7.86,59.8,77.2,76.4,47.4,0
8.98,60.2,52.7,55.3,90.2,1
6.98,96.2,42.4,63.8,25.6,0
6.69,70.7,63.4,73.1,83.6,1
7.0,71.5,55.4,78.1,56.0,1
8.42,80.5,63.9,74.4,75.5,1
7.83,68.6,68.2,87.2,61.4,1
6.97,61.1,64.6,55.5,80.5,1
8.01,62.1,87.4,76.4,53.0,0
7.6,63.9,73.9,56.8,40.2,0
8.47,64.4,73.6,82.6,85.6,1
6.8,75.9,77.5,74.1,58.0,0
7.17,65.8,56.3,79.2,64.0,1
7.11,76.0,82.5,66.4,82.2,1
6.04,63.8,69.1,87.8,41.4,0
7.8,66.2,78.0,85.4,70.7,1
7.76,35.0,57.1,80.8,49.4,0
7.51,78.7,51.4,73.7,57.6,0
7.27,70.2,79.8,80.8,61.3,1
6.08,80.0,74.5,67.9,33.0,1
7.08,21.6,59.2,83.6,46.0,0
7.16,96.3,59.6,91.5,84.3,1
6.7,62.9,83.5,85.7,76.0,1
7.34,81.6,55.7,67.7,58.9,1
7.9,49.4,89.7,78.6,64.4,1
9.39,74.2,59.2,62.1,54.7,0
7.67,49.2,77.7,80.7,84.4,1
7.76,55.6,66.1,79.5,56.4,0
7.43,93.7,77.2,56.3,64.2,1
5.58,62.1,63.5,63.4,80.6,0
7.47,68.3,68.0,72.2,46.0,1
7.56,78.1,70.5,72.0,88.1,1
9.96,72.4,58.0,62.9,32.5,0
7.31,67.3,78.9,78.9,89.3,1
7.8,70.5,63.8,77.5,53.3,1
7.47,100.0,67.3,73.1,55.6,1
6.33,64.1,58.1,67.4,26.0,0
8.64,68.0,39.3,85.5,51.8,0
8.25,80.8,67.7,91.6,41.3,1
8.29,81.6,99.0,70.2,49.1,1
6.59,82.8,79.4,68.9,57.5,1
8.9,74.6,69.8,79.9,77.2,1
6.1,47.9,66.8,71.4,63.7,0
8.09,89.5,70.3,73.6,65.5,1
9.69,47.8,76.6,82.4,40.3,0
6.51,69.5,55.8,55.9,44.1,0
6.93,53.7,83.4,88.2,92.4,1
7.6,64.0,78.6,75.7,46.8,1
7.0,69.9,78.6,70.9,89.8,1
5.95,69.8,75.3,74.1,55.6,1
7.57,71.3,70.2,74.6,60.0,1
6.44,89.2,78.1,57.7,79.3,1
7.97,71.8,77.1,89.9,82.9,1
6.58,61.3,65.8,75.4,58.0,0
9.05,79.5,63.1,79.4,53.0,1
6.72,82.8,71.2,84.5,59.0,1
7.18,46.6,88.6,64.8,66.1,1
8.31,74.0,55.1,79.7,76.0,1
6.27,75.5,52.4,72.3,60.1,0
7.73,60.5,72.0,83.5,71.1,1
8.81,85.6,70.6,53.7,89.5,1
5.89,62.7,72.1,74.0,66.9,1
7.68,66.9,72.9,69.0,65.6,1
7.76,62.4,67.3,79.3,32.7,0
8.28,65.2,87.9,79.7,12.6,0
6.26,48.6,50.8,67.9,67.0,0
6.18,43.4,60.1,67.9,58.3,0
8.02,88.9,68.8,73.9,50.7,1
7.8,52.3,50.3,66.0,64.4,0
7.75,50.1,67.9,83.4,58.9,1
7.85,32.7,89.9,71.3,80.3,0
6.82,55.4,70.3,45.9,61.5,0
7.73,45.2,72.8,71.3,46.6,0
7.79,89.6,54.9,64.6,77.8,1
6.79,80.1,62.6,58.7,56.1,1
9.37,54.7,65.5,62.6,69.5,1
7.97,98.8,66.2,76.1,51.4,1
6.31,79.7,85.4,88.3,48.3,1
8.16,60.1,76.7,78.1,61.5,0
6.53,27.5,56.7,68.9,60.2,0
8.29,99.4,73.0,79.6,68.6,1
8.66,44.2,76.0,70.4,55.2,0
6.68,40.3,83.7,68.1,26.9,0
8.46,80.3,89.0,63.5,52.2,1
